Sr. No.,Title,Description,status,post_type,
1,Barry French1,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Publish,team-member,
2,Barry French2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Publish,team-member,
3,Barry French3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Publish,team-member,
4,Clay Rozendal,R380,Publish,team-member,
5,Carlos Soltero,Holmes HEPA Air Purifier,Publish,team-member,
6,Carlos Soltero,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Publish,team-member,
7,Carl Jackson,"Angle-D Binders with Locking Rings, Label Holders",Publish,team-member,
8,Carl Jackson,"SAFCO Mobile Desk Side File, Wire Frame",Publish,team-member,
9,Monica Federle,"SAFCO Commercial Wire Shelving, Black",Publish,team-member,
10,Dorothy Badders,Xerox 198,Publish,team-member,
11,Neola Schneider,Xerox 1980,Publish,team-member,
12,Neola Schneider,Advantus Map Pennant Flags and Round Head Tacks,Publish,team-member,
13,Carlos Daly,Holmes HEPA Air Purifier,Publish,team-member,
14,Carlos Daly,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Publish,team-member,
15,Claudia Miner,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Publish,team-member,
16,Neola Schneider,Ultra Commercial Grade Dual Valve Door Closer,Publish,team-member,
17,Allen Rosenblatt,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Publish,team-member,
18,Sylvia Foulston,Hon 4-Shelf Metal Bookcases,Publish,team-member,
19,Sylvia Foulston,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Publish,team-member,
20,Jim Radford,g520,Publish,team-member,
21,Jim Radford,LX 788,Publish,team-member,
22,Carlos Soltero,Avery 52,Publish,team-member,
23,Carlos Soltero,Plymouth Boxed Rubber Bands by Plymouth,Publish,team-member,
24,Carl Ludwig,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Publish,team-member,
25,Carl Ludwig,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Publish,team-member,
26,Don Miller,Newell 335,Publish,team-member,
27,Annie Cyprus,SANFORD Liquid Accent™ Tank-Style Highlighters,Publish,team-member,
28,Carl Ludwig,Canon PC940 Copier,Publish,team-member,
29,Carlos Soltero,"Tenex Personal Project File with Scoop Front Design, Black",Publish,team-member,
30,Grant Carroll,Col-Erase® Pencils with Erasers,Publish,team-member,
31,Don Miller,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Publish,team-member,
32,Don Miller,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Publish,team-member,
33,Alan Barnes,Self-Adhesive Address Labels for Typewriters by Universal,Publish,team-member,
